Date,Open,High,Low,Close,Volume,Currency
2019-01-02,101.6,102.65,99.35,99.5,22181,USD
2019-01-03,99.5,103.25,99.45,102.15,21488,USD
2019-01-04,102.3,103.0,100.4,101.6,16115,USD
2019-01-07,101.5,103.45,101.15,102.75,15307,USD
2019-01-08,102.9,106.05,102.35,105.05,32987,USD
2019-01-09,105.0,106.85,104.35,105.3,21955,USD
2019-01-10,105.0,106.0,103.35,104.25,23607,USD
2019-01-11,104.0,104.8,102.5,103.85,24878,USD
2019-01-14,103.4,103.55,101.55,102.75,16710,USD
2019-01-15,102.25,102.9,100.4,101.3,20659,USD
2019-01-16,100.9,103.0,100.65,102.4,21687,USD
2019-01-17,102.4,103.5,101.75,102.4,17112,USD
2019-01-18,102.85,106.2,102.6,104.95,27462,USD
2019-01-22,104.9,105.75,102.8,103.35,19239,USD
2019-01-23,102.9,104.0,102.3,103.4,16628,USD
2019-01-24,103.7,106.1,103.05,105.3,22422,USD
2019-01-25,106.1,107.15,105.2,106.8,26253,USD
2019-01-28,105.65,105.8,101.55,102.65,31315,USD
2019-01-29,103.0,103.3,102.15,102.6,16064,USD
2019-01-30,102.65,103.35,101.95,102.1,12753,USD
2019-01-31,102.3,106.35,102.3,105.9,31555,USD
2019-02-01,106.15,107.0,103.55,103.7,27776,USD
2019-02-04,103.8,106.35,103.25,105.6,28654,USD
2019-02-05,105.8,106.2,104.25,104.85,21214,USD
2019-02-06,104.7,105.9,104.35,105.5,23725,USD
2019-02-07,105.2,105.3,103.55,104.3,38973,USD
2019-02-08,104.25,104.75,102.25,102.6,39198,USD
2019-02-11,102.6,102.7,99.85,100.2,41306,USD
2019-02-12,100.2,101.25,99.9,100.45,28912,USD
2019-02-13,101.0,101.0,98.65,98.9,29862,USD
2019-02-14,98.85,99.2,97.05,97.85,17476,USD
2019-02-15,97.8,98.85,97.45,97.95,19140,USD
2019-02-19,97.65,98.3,96.1,97.2,13803,USD
2019-02-20,97.6,98.2,96.1,97.55,218,USD
2019-02-21,97.0,97.35,96.0,96.1,37,USD
2019-02-22,96.5,96.95,96.45,96.45,30,USD
2019-02-25,96.35,97.25,96.25,96.4,12,USD
2019-02-26,96.4,96.5,93.6,93.55,68,USD
2019-02-27,93.95,96.3,93.95,95.7,15,USD
2019-02-28,94.7,95.55,94.7,95.2,42,USD
2019-03-01,97.5,97.5,97.5,96.95,8,USD
2019-03-04,96.5,96.5,96.5,94.1,11,USD
2019-03-05,96.45,96.45,96.45,96.45,0,USD
2019-03-06,99.85,100.1,98.35,95.5,15,USD
2019-03-07,98.55,99.3,96.85,93.65,0,USD
2019-03-08,94.5,95.25,94.5,95.3,2,USD
2019-03-11,98.08,98.3,97.05,94.0,0,USD
2019-03-12,94.55,94.55,94.5,92.8,6,USD
2019-03-13,96.1,97.78,95.25,94.45,0,USD
2019-03-14,95.3,95.3,94.05,93.95,2,USD
2019-03-15,97.28,97.85,96.6,94.6,0,USD
2019-03-18,97.15,97.97,96.35,93.65,2,USD
2019-03-19,97.03,97.8,96.5,93.45,0,USD
2019-03-20,96.6,96.8,94.35,94.75,24995,USD
2019-03-21,94.85,96.3,94.55,94.8,18945,USD
2019-03-22,95.0,95.5,93.65,93.9,17911,USD
2019-03-25,93.65,94.85,92.6,94.25,23108,USD
2019-03-26,94.35,95.85,93.95,95.35,25122,USD
2019-03-27,95.05,96.4,93.45,93.85,31136,USD
2019-03-28,93.4,94.6,92.7,94.0,24204,USD
2019-03-29,94.25,95.65,94.2,94.5,21783,USD
2019-04-01,94.05,94.8,91.65,92.1,40736,USD
2019-04-02,92.35,92.55,91.25,91.65,22447,USD
2019-04-03,91.65,95.85,91.3,95.35,48271,USD
2019-04-04,95.2,96.95,94.5,95.3,43593,USD
2019-04-05,94.8,95.75,93.05,93.2,35727,USD
2019-04-08,93.2,93.8,92.05,92.95,35230,USD
2019-04-09,93.3,94.85,93.15,93.65,47969,USD
2019-04-10,93.75,94.5,93.1,94.25,28264,USD
2019-04-11,94.1,94.3,90.15,90.25,62045,USD
2019-04-12,90.8,91.15,89.35,90.4,33835,USD
2019-04-15,90.0,91.7,89.85,91.4,34575,USD
2019-04-16,91.05,91.55,89.8,90.5,19189,USD
2019-04-17,90.2,90.75,86.35,87.05,26972,USD
2019-04-18,87.05,91.5,87.0,90.2,15144,USD
2019-04-22,90.5,93.2,90.5,91.1,583,USD
2019-04-23,92.0,92.0,90.1,91.5,175,USD
2019-04-24,91.65,92.0,90.25,90.45,157,USD
2019-04-25,91.9,92.0,91.5,92.05,165,USD
2019-04-26,92.0,92.4,91.85,92.7,33,USD
2019-04-29,91.75,91.8,90.8,91.35,31,USD
2019-04-30,91.35,93.85,91.35,91.85,126,USD
2019-05-01,91.7,91.7,91.7,89.8,2,USD
2019-05-02,90.98,92.75,90.78,90.25,0,USD
2019-05-03,89.8,89.8,89.6,89.25,8,USD
2019-05-06,93.5,93.5,89.43,88.8,1,USD
2019-05-07,87.65,87.65,87.0,86.65,26,USD
2019-05-08,87.6,87.6,87.45,87.2,7,USD
2019-05-09,88.6,88.6,87.5,89.5,3,USD
2019-05-10,88.85,88.85,88.85,89.45,1,USD
2019-05-13,90.2,90.5,88.83,88.25,14,USD
2019-05-14,90.08,92.6,90.0,89.55,0,USD
2019-05-15,90.75,91.75,90.63,89.9,0,USD
2019-05-16,89.7,89.7,89.7,90.0,4,USD
2019-05-17,88.05,88.05,88.05,87.35,14,USD
2019-05-20,88.15,88.2,86.75,88.25,41,USD
2019-05-21,89.6,93.35,88.5,92.9,32021,USD
2019-05-22,93.0,93.85,91.5,91.75,26077,USD
2019-05-23,91.6,94.0,90.2,93.5,30162,USD
2019-05-24,93.5,95.0,92.6,93.3,27512,USD
2019-05-28,93.2,96.45,92.65,96.05,36411,USD
2019-05-29,96.65,100.25,95.95,99.5,40276,USD
2019-05-30,100.15,102.75,99.5,102.35,51085,USD
2019-05-31,102.1,105.3,99.05,104.6,47250,USD
2019-06-03,104.85,105.65,103.0,103.75,54970,USD
2019-06-04,103.25,106.15,102.7,105.65,43489,USD
2019-06-05,105.35,105.6,97.9,99.1,60415,USD
2019-06-06,99.0,102.55,98.6,102.05,36389,USD
2019-06-07,102.05,103.3,100.05,100.95,35111,USD
2019-06-10,100.15,100.75,98.0,98.6,46331,USD
2019-06-11,98.1,100.45,96.85,97.0,39467,USD
2019-06-12,97.15,99.2,96.75,99.05,31368,USD
2019-06-13,99.1,99.7,97.3,97.35,28587,USD
2019-06-14,97.4,98.0,95.85,96.0,27578,USD
2019-06-17,95.8,96.8,94.85,96.05,15748,USD
2019-06-18,95.85,96.0,94.0,94.3,9770,USD
2019-06-19,94.45,97.45,94.35,96.25,9586,USD
2019-06-20,98.0,101.1,98.0,101.05,1245,USD
2019-06-21,102.05,102.05,99.4,99.8,277,USD
2019-06-24,99.3,102.4,99.0,102.0,218,USD
2019-06-25,103.0,105.35,103.0,106.45,94,USD
2019-06-26,104.7,107.15,104.45,104.9,49,USD
2019-06-27,105.2,105.8,105.0,105.55,16,USD
2019-06-28,106.9,109.0,106.35,108.25,50,USD
2019-07-01,112.55,112.55,109.6,110.15,47,USD
2019-07-02,110.35,110.35,108.6,108.25,88,USD
2019-07-03,110.1,112.15,108.3,112.25,5,USD
2019-07-05,112.55,112.55,110.4,109.45,15,USD
2019-07-08,113.05,113.05,105.5,104.75,27,USD
2019-07-09,106.43,108.3,105.35,105.9,0,USD
2019-07-10,107.68,109.3,105.58,104.35,2,USD
2019-07-11,106.05,106.05,106.05,105.5,1,USD
2019-07-12,107.2,107.88,106.08,105.2,1,USD
2019-07-15,106.55,110.65,104.53,108.8,0,USD
2019-07-16,110.18,110.18,105.45,104.1,6,USD
2019-07-17,106.35,107.9,105.5,105.95,2,USD
2019-07-18,105.3,105.3,105.3,107.15,2,USD
2019-07-19,108.68,109.88,107.03,105.85,0,USD
2019-07-22,106.7,108.0,105.0,105.1,19290,USD
2019-07-23,105.15,105.6,102.15,102.3,26107,USD
2019-07-24,102.45,103.65,100.55,101.0,31143,USD
2019-07-25,101.35,101.65,100.3,100.65,20320,USD
2019-07-26,100.6,102.65,99.05,99.75,27622,USD
2019-07-29,99.75,102.45,98.75,101.15,25632,USD
2019-07-30,101.05,101.15,98.8,99.5,19260,USD
2019-07-31,99.1,100.45,98.1,99.65,24465,USD
2019-08-01,97.85,98.45,96.4,97.25,24406,USD
2019-08-02,97.15,98.95,96.75,98.15,24202,USD
2019-08-05,98.3,98.7,94.3,95.65,24429,USD
2019-08-06,95.75,97.75,95.2,97.05,26450,USD
2019-08-07,96.8,97.7,96.05,96.9,25949,USD
2019-08-08,97.4,98.9,96.55,97.4,35696,USD
2019-08-09,97.2,98.1,96.65,97.3,31111,USD
2019-08-12,97.2,97.25,93.4,93.75,40125,USD
2019-08-13,93.7,96.6,93.15,96.35,30652,USD
2019-08-14,95.85,96.4,94.0,94.45,17294,USD
2019-08-15,94.4,95.7,94.15,94.55,11795,USD
2019-08-16,94.9,95.05,92.6,92.85,5806,USD
2019-08-19,92.8,93.65,91.05,91.15,8234,USD
2019-08-20,91.35,91.8,89.6,91.45,12093,USD
2019-08-21,91.65,93.85,91.65,92.85,16534,USD
2019-08-22,93.15,93.6,92.25,93.5,114,USD
2019-08-23,92.85,92.85,92.0,92.6,21,USD
2019-08-26,92.15,94.85,92.15,94.15,28,USD
2019-08-27,93.85,93.85,93.4,93.8,9,USD
2019-08-28,93.0,93.9,92.85,94.2,8,USD
2019-08-29,93.35,93.35,93.35,91.9,13,USD
2019-08-30,93.3,93.3,93.3,93.6,8,USD
2019-09-03,95.23,96.6,94.23,92.35,0,USD
2019-09-04,95.8,96.95,95.53,93.4,0,USD
2019-09-05,96.88,97.45,95.08,92.2,0,USD
2019-09-06,95.18,97.35,95.03,93.85,0,USD
2019-09-09,96.88,99.2,95.38,95.0,0,USD
2019-09-10,98.68,102.25,98.03,98.35,0,USD
2019-09-11,101.15,101.15,101.15,100.15,1,USD
2019-09-12,102.68,103.85,101.18,100.35,0,USD
2019-09-13,103.23,103.6,102.08,99.5,0,USD
2019-09-16,102.0,104.9,101.68,100.8,0,USD
2019-09-17,103.6,104.05,99.98,96.85,0,USD
2019-09-18,100.83,101.83,100.13,96.85,0,USD
2019-09-19,100.35,100.75,98.1,98.35,17599,USD
2019-09-20,98.5,99.75,98.05,98.4,22016,USD
2019-09-23,98.5,100.9,98.15,99.0,17158,USD
2019-09-24,98.85,100.35,98.45,99.15,13620,USD
2019-09-25,98.9,101.55,97.25,100.95,24939,USD
2019-09-26,101.4,102.9,100.05,100.85,17306,USD
2019-09-27,100.5,101.9,100.4,100.9,14126,USD
2019-09-30,100.5,102.45,99.3,101.15,21746,USD
2019-10-01,101.05,101.6,99.65,101.35,16903,USD
2019-10-02,101.0,101.7,100.15,100.6,13658,USD
2019-10-03,100.5,102.9,99.15,102.05,21305,USD
2019-10-04,102.05,102.5,98.5,99.0,23556,USD
2019-10-07,98.9,99.15,96.6,97.0,30596,USD
2019-10-08,97.1,97.8,95.5,95.7,24754,USD
2019-10-09,95.65,96.6,95.05,95.45,18927,USD
2019-10-10,95.6,96.1,93.05,93.5,31307,USD
2019-10-11,94.25,94.35,92.2,93.7,30548,USD
2019-10-14,93.5,95.6,93.4,94.85,20416,USD
2019-10-15,94.9,95.4,93.95,94.45,23097,USD
2019-10-16,94.05,94.4,92.25,93.55,22369,USD
2019-10-17,93.45,94.7,92.35,92.9,19941,USD
2019-10-18,92.65,96.2,92.55,95.7,24920,USD
2019-10-21,96.05,97.0,94.5,96.35,22191,USD
2019-10-22,95.55,99.1,95.55,98.9,25210,USD
2019-10-23,98.8,98.9,97.4,97.75,18746,USD
2019-10-24,97.75,98.45,96.0,96.45,20092,USD
2019-10-25,95.65,99.85,95.65,99.45,31372,USD
2019-10-28,99.15,100.8,98.2,100.5,26594,USD
2019-10-29,100.5,101.8,98.7,98.95,30089,USD
2019-10-30,98.7,100.35,97.05,99.35,26926,USD
2019-10-31,99.4,102.25,99.4,101.95,30196,USD
2019-11-01,102.15,104.3,101.1,104.0,31183,USD
2019-11-04,104.0,104.75,102.65,103.65,41525,USD
2019-11-05,103.55,106.05,102.8,105.8,42922,USD
2019-11-06,105.8,108.2,105.05,108.0,52731,USD
2019-11-07,107.85,109.6,106.85,109.1,54063,USD
2019-11-08,108.75,109.9,108.3,109.45,38484,USD
2019-11-11,108.3,108.9,105.5,106.0,41346,USD
2019-11-12,106.15,107.45,104.8,105.6,30605,USD
2019-11-13,105.65,108.2,105.55,107.95,25674,USD
2019-11-14,108.1,109.55,106.6,108.05,14840,USD
2019-11-15,107.6,107.9,105.6,106.15,10116,USD
2019-11-18,105.55,107.2,105.15,105.55,18912,USD
2019-11-19,105.3,106.6,102.5,102.7,19432,USD
2019-11-20,105.9,109.8,105.45,109.7,544,USD
2019-11-21,109.3,115.75,108.1,115.25,91,USD
2019-11-22,114.2,114.5,113.9,114.6,61,USD
2019-11-25,114.45,117.8,114.45,117.8,28,USD
2019-11-26,117.75,117.75,115.0,115.7,19,USD
2019-11-27,116.93,118.9,115.83,117.3,0,USD
2019-11-29,117.95,118.0,117.95,118.55,63,USD
2019-12-02,118.0,122.0,118.0,121.5,35,USD
2019-12-03,121.75,123.5,121.75,122.85,6,USD
2019-12-04,123.2,123.35,120.95,120.6,26,USD
2019-12-05,121.45,124.4,121.45,123.95,77,USD
2019-12-06,125.1,126.15,123.0,123.7,31,USD
2019-12-09,128.25,128.25,128.25,127.3,1,USD
2019-12-10,129.6,130.85,129.6,132.05,39,USD
2019-12-11,134.45,134.45,134.45,133.85,35,USD
2019-12-12,135.2,137.0,134.85,135.9,8,USD
2019-12-13,138.2,138.4,134.55,129.45,62,USD
2019-12-16,135.85,135.85,135.85,135.8,2,USD
2019-12-17,132.9,132.9,131.9,132.2,17,USD
2019-12-18,134.08,135.44,130.25,131.7,0,USD
2019-12-19,133.35,133.35,126.2,127.2,30472,USD
2019-12-20,126.9,131.05,126.3,130.7,19029,USD
2019-12-23,130.4,131.5,124.9,125.3,23911,USD
2019-12-24,126.05,130.65,125.35,129.4,15731,USD
2019-12-26,129.4,129.85,126.65,127.3,8886,USD
2019-12-27,127.85,132.8,127.65,132.5,23561,USD
2019-12-30,132.5,132.75,129.8,132.15,15437,USD
2019-12-31,131.5,134.65,128.55,129.7,17376,USD
2020-01-02,129.55,130.95,126.5,127.1,21506,USD
2020-01-03,127.2,128.45,125.45,126.35,16566,USD
2020-01-06,126.25,126.55,121.55,122.15,24428,USD
2020-01-07,122.6,123.4,119.85,122.4,21308,USD
2020-01-08,122.5,123.05,118.25,119.15,23061,USD
2020-01-09,118.7,120.35,117.0,117.35,24637,USD
2020-01-10,117.75,119.15,116.5,118.95,21165,USD
2020-01-13,118.55,118.55,114.15,114.55,22280,USD
2020-01-14,115.0,115.55,113.7,114.9,18618,USD
2020-01-15,115.3,116.35,114.05,114.3,24677,USD
2020-01-16,114.3,115.1,112.35,112.95,16708,USD
2020-01-17,113.05,113.4,111.35,112.15,17839,USD
2020-01-21,111.5,113.25,109.75,111.05,32011,USD
2020-01-22,111.5,112.2,110.1,111.0,18581,USD
2020-01-23,111.15,113.7,110.65,112.6,22898,USD
2020-01-24,112.6,112.65,109.85,110.15,23990,USD
2020-01-27,110.0,110.0,106.15,106.6,25500,USD
2020-01-28,106.4,106.8,104.9,105.05,23885,USD
2020-01-29,106.0,106.2,101.9,102.05,32681,USD
2020-01-30,102.0,103.5,100.9,101.5,24626,USD
2020-01-31,101.45,103.25,100.15,102.65,23166,USD
2020-02-03,102.0,102.3,97.8,97.9,31237,USD
2020-02-04,98.95,101.75,97.6,98.15,29518,USD
2020-02-05,98.5,99.25,97.55,97.75,29230,USD
2020-02-06,98.45,99.35,97.4,98.15,34189,USD
2020-02-07,98.35,99.9,97.7,98.35,23661,USD
2020-02-10,98.55,100.7,98.05,100.3,45770,USD
2020-02-11,100.65,101.2,99.5,100.5,36364,USD
2020-02-12,101.0,102.3,100.0,100.65,36213,USD
2020-02-13,100.5,104.65,99.95,104.45,28558,USD
2020-02-14,104.15,109.4,103.65,109.1,9664,USD
2020-02-18,109.7,111.5,104.4,106.55,14616,USD
2020-02-19,106.3,107.75,105.5,106.8,17063,USD
2020-02-20,107.05,107.05,104.0,103.6,721,USD
2020-02-21,104.6,109.7,104.6,108.85,26,USD
2020-02-24,105.45,107.05,102.9,105.9,878,USD
2020-02-25,106.45,107.7,103.9,107.1,104,USD
2020-02-26,105.35,109.35,105.35,109.1,17,USD
2020-02-27,109.9,110.8,107.8,108.2,412,USD
2020-02-28,107.75,109.95,107.75,110.1,110,USD
2020-03-02,112.75,113.7,112.75,114.65,17,USD
2020-03-03,118.7,120.75,118.3,121.05,119,USD
2020-03-04,118.85,118.85,118.85,117.15,62,USD
2020-03-05,115.0,115.45,115.0,109.85,82,USD
2020-03-06,105.6,106.2,105.6,105.6,42,USD
2020-03-09,103.7,109.65,103.7,108.95,36,USD
2020-03-10,111.3,114.45,111.3,114.25,92,USD
2020-03-11,114.3,116.08,111.53,111.55,0,USD
2020-03-12,109.23,110.5,107.43,109.15,0,USD
2020-03-13,111.15,111.35,107.5,107.05,62,USD
2020-03-16,107.05,107.05,104.85,103.9,4,USD
2020-03-17,104.4,104.4,102.8,102.9,13,USD
2020-03-18,108.2,108.2,108.2,108.05,18,USD
2020-03-19,114.15,114.15,111.5,116.65,37,USD
2020-03-20,114.0,120.05,114.0,119.7,24832,USD
2020-03-23,120.65,124.9,116.6,121.25,26987,USD
2020-03-24,121.45,126.05,120.8,125.6,21152,USD
2020-03-25,126.2,130.4,122.35,129.95,25571,USD
2020-03-26,128.4,130.65,124.05,124.65,17978,USD
2020-03-27,123.35,123.35,115.65,115.85,19516,USD
2020-03-30,116.2,120.85,116.2,119.3,14430,USD
2020-03-31,118.65,120.4,116.4,119.55,14185,USD
2020-04-01,117.75,119.0,114.1,116.0,17245,USD
2020-04-02,116.85,120.1,116.6,119.35,17216,USD
2020-04-03,118.55,119.2,114.3,114.9,15077,USD
2020-04-06,114.85,117.8,112.4,116.65,18789,USD
2020-04-07,117.05,120.9,117.0,119.9,22940,USD
2020-04-08,120.0,120.75,118.05,119.8,20568,USD
2020-04-09,120.0,122.0,116.9,118.6,21970,USD
2020-04-13,118.95,120.6,116.6,119.75,14231,USD
2020-04-14,119.9,120.35,115.75,117.2,14615,USD
2020-04-15,117.0,121.2,114.6,120.2,9063,USD
2020-04-16,119.85,120.85,117.9,118.6,7041,USD
2020-04-17,118.3,119.6,115.7,116.05,10691,USD
2020-04-20,116.3,116.75,113.05,113.65,5968,USD
2020-04-21,113.0,113.55,109.35,109.65,8794,USD
2020-04-22,109.65,112.1,109.65,110.6,124,USD
2020-04-23,112.0,113.6,110.65,111.05,39,USD
2020-04-24,109.45,109.45,105.0,105.2,35,USD
2020-04-27,107.0,107.0,104.3,104.6,32,USD
2020-04-28,106.65,108.95,105.95,105.7,0,USD
2020-04-29,104.05,104.1,103.5,103.65,16,USD
2020-04-30,103.75,104.1,102.65,104.65,14,USD
2020-05-01,104.25,104.25,103.7,104.45,2,USD
2020-05-04,103.9,103.9,103.4,105.55,2,USD
2020-05-05,108.3,108.3,108.3,108.85,49,USD
2020-05-06,107.8,109.15,107.75,109.35,6,USD
2020-05-07,107.0,107.0,104.6,107.45,4,USD
2020-05-08,108.25,109.4,108.25,110.1,2,USD
2020-05-11,108.2,108.2,108.2,108.95,10,USD
2020-05-12,107.75,107.75,107.75,105.6,1,USD
2020-05-13,104.5,104.5,103.65,103.55,57,USD
2020-05-14,105.35,105.35,105.35,104.9,4,USD
2020-05-15,105.0,105.0,105.0,104.8,1,USD
2020-05-18,106.65,108.08,105.03,105.7,0,USD
2020-05-19,107.5,108.7,106.3,107.05,11518,USD
2020-05-20,106.75,107.65,105.3,105.65,12399,USD
2020-05-21,105.75,106.75,104.2,104.75,19211,USD
2020-05-22,104.75,105.15,102.35,103.6,18541,USD
2020-05-26,104.65,107.1,104.2,105.1,18345,USD
2020-05-27,105.15,106.0,101.45,102.5,20950,USD
2020-05-28,102.3,102.55,98.55,99.1,21073,USD
2020-05-29,99.2,100.05,95.85,96.3,23795,USD
2020-06-01,95.85,99.0,94.8,98.3,26971,USD
2020-06-02,98.45,99.7,97.35,98.2,17761,USD
2020-06-03,98.5,100.75,97.9,99.1,16879,USD
2020-06-04,98.9,98.95,96.25,98.15,13953,USD
2020-06-05,98.55,99.75,97.05,98.9,16818,USD
2020-06-08,99.25,99.65,97.55,98.9,26561,USD
2020-06-09,99.2,99.45,97.25,97.8,22764,USD
2020-06-10,97.9,98.65,96.4,96.75,24680,USD
2020-06-11,96.2,97.65,94.6,96.0,27278,USD
2020-06-12,96.35,97.8,94.9,95.2,18281,USD
2020-06-15,94.2,95.25,92.7,94.0,22016,USD
2020-06-16,94.65,95.45,92.75,93.65,11584,USD
2020-06-17,93.25,96.8,93.15,96.25,12234,USD
2020-06-18,97.0,97.05,94.4,94.6,16437,USD
2020-06-19,94.3,95.3,93.45,93.75,15815,USD
2020-06-22,94.05,96.1,94.0,95.95,266,USD
2020-06-23,96.25,97.55,95.75,96.25,30,USD
2020-06-24,96.25,97.1,96.25,96.65,34,USD
2020-06-25,96.65,97.1,94.55,94.85,45,USD
2020-06-26,95.6,95.6,93.45,95.65,19,USD
2020-06-29,100.45,101.45,98.45,98.65,16,USD
2020-06-30,100.35,100.35,99.5,100.05,7,USD
2020-07-01,102.8,102.8,102.05,103.05,4,USD
2020-07-02,104.38,104.6,102.53,102.25,0,USD
2020-07-06,97.35,97.35,97.35,97.2,47,USD
2020-07-07,97.88,100.7,97.35,99.25,0,USD
2020-07-08,100.48,102.23,99.63,98.95,0,USD
2020-07-09,100.03,100.8,98.33,97.7,0,USD
2020-07-10,96.8,96.95,95.45,96.15,4,USD
2020-07-13,97.03,98.88,96.58,97.4,0,USD
2020-07-14,98.65,98.7,96.83,96.7,0,USD
2020-07-15,98.03,98.2,96.33,95.95,0,USD
2020-07-16,96.9,98.8,96.78,97.1,0,USD
2020-07-17,98.45,102.5,98.45,101.05,0,USD
2020-07-20,101.58,102.85,99.08,98.5,0,USD
2020-07-21,99.53,101.9,99.53,100.5,0,USD
2020-07-22,101.75,108.75,101.25,108.35,32829,USD
2020-07-23,108.1,109.3,106.15,107.5,24990,USD
2020-07-24,106.95,109.1,106.35,108.4,22539,USD
2020-07-27,107.9,110.75,107.4,110.4,25735,USD
2020-07-28,110.35,111.35,108.35,109.65,18617,USD
2020-07-29,109.4,112.6,109.3,111.6,24211,USD
2020-07-30,112.45,117.4,112.2,115.35,34126,USD
2020-07-31,116.4,119.4,115.2,118.95,34771,USD
2020-08-03,118.2,119.7,115.65,117.9,28190,USD
2020-08-04,116.9,121.25,116.65,121.05,29406,USD
2020-08-05,120.75,127.25,120.45,121.55,36843,USD
2020-08-06,122.0,124.2,116.45,117.0,28501,USD
2020-08-07,117.3,118.8,113.6,115.45,29392,USD
2020-08-10,115.05,117.15,111.6,112.6,22719,USD
2020-08-11,112.0,112.55,109.7,111.35,28553,USD
2020-08-12,111.35,113.8,110.35,112.05,22667,USD
2020-08-13,112.4,117.15,111.15,116.2,20874,USD
2020-08-14,116.65,119.2,114.45,114.7,15520,USD
2020-08-17,114.6,115.65,112.7,115.55,6996,USD
2020-08-18,115.65,119.75,115.65,119.3,7201,USD
2020-08-19,119.5,122.2,116.75,118.45,9248,USD
2020-08-20,118.0,119.95,117.0,118.55,7088,USD
2020-08-21,119.65,120.4,116.5,120.1,245,USD
2020-08-24,120.4,122.6,119.45,120.25,119,USD
2020-08-25,120.5,123.8,120.0,123.2,55,USD
2020-08-26,125.5,127.6,122.0,122.8,72,USD
2020-08-27,121.35,123.25,121.0,122.95,13,USD
2020-08-28,123.6,127.1,123.6,127.1,54,USD
2020-08-31,129.05,130.8,127.15,129.8,56,USD
2020-09-01,132.25,132.3,130.8,131.9,22,USD
2020-09-02,130.95,131.05,130.0,131.5,41,USD
2020-09-03,131.3,131.3,131.0,131.6,11,USD
2020-09-04,131.2,134.5,131.2,134.8,45,USD
2020-09-08,129.0,129.55,128.25,132.8,17,USD
2020-09-09,131.15,131.4,130.4,129.65,15,USD
2020-09-10,127.73,133.45,127.7,132.5,0,USD
2020-09-11,130.65,132.55,129.38,133.35,0,USD
2020-09-14,128.15,128.65,124.15,123.55,118,USD
2020-09-15,122.38,122.97,115.85,122.2,0,USD
2020-09-16,123.85,123.85,120.7,120.55,8,USD
2020-09-17,119.9,119.9,118.7,118.1,24,USD
2020-09-18,118.35,118.35,115.75,113.6,3,USD
2020-09-21,113.0,113.45,110.8,112.0,32467,USD
2020-09-22,112.55,114.8,110.35,110.65,22525,USD
2020-09-23,110.8,112.6,109.05,110.5,24425,USD
2020-09-24,110.75,112.1,110.25,111.15,17432,USD
2020-09-25,111.75,114.3,110.85,113.65,18236,USD
2020-09-28,113.8,114.75,108.7,109.55,21447,USD
2020-09-29,109.1,110.4,108.3,109.55,21158,USD
2020-09-30,110.25,112.75,109.4,110.95,21064,USD
2020-10-01,110.95,111.6,106.4,107.05,27641,USD
2020-10-02,106.5,110.0,104.9,108.95,23163,USD
2020-10-05,108.65,109.7,106.6,107.2,19938,USD
2020-10-06,107.5,109.4,107.1,107.65,15255,USD
2020-10-07,107.7,111.0,106.2,109.6,20419,USD
2020-10-08,110.15,112.15,107.9,110.25,18260,USD
2020-10-09,110.25,112.45,110.25,111.55,15764,USD
2020-10-12,111.0,113.35,108.55,109.15,15910,USD
2020-10-13,109.3,111.15,108.7,110.1,14789,USD
2020-10-14,110.05,111.7,109.2,109.6,14046,USD
2020-10-15,109.55,111.35,106.5,109.5,22363,USD
2020-10-16,109.65,111.1,106.85,107.25,14716,USD
2020-10-19,106.55,108.65,105.6,106.05,16873,USD
2020-10-20,107.05,107.25,104.0,104.9,17967,USD
2020-10-21,104.8,106.85,103.35,104.15,15757,USD
2020-10-22,103.7,107.45,103.2,106.7,22411,USD
2020-10-23,106.4,107.0,104.75,105.6,11995,USD
2020-10-26,104.8,107.15,104.3,106.65,14411,USD
2020-10-27,106.75,108.2,106.15,106.95,16380,USD
2020-10-28,106.45,106.65,104.65,105.0,15333,USD
2020-10-29,105.0,105.2,102.95,104.6,16287,USD
2020-10-30,104.55,105.8,103.7,104.4,18949,USD
2020-11-02,103.9,104.9,102.35,102.8,18605,USD
2020-11-03,102.8,106.25,102.75,103.45,24079,USD
2020-11-04,103.65,103.95,102.15,103.0,18073,USD
2020-11-05,103.9,106.8,103.55,105.95,29467,USD
2020-11-06,106.55,108.0,105.95,106.95,18754,USD
